period,resource,kind,capacity,full_demand_load,headroom_xi,critical
17,K15,edge,6048000.0,360365.88463802915,16.78294271966098,False
17,K18,edge,1728000.0,7900.0,218.73417721518987,False
17,K19,edge,1728000.0,29026.19048,59.532441957571,False
17,K20,edge,1728000.0,23531.19046625,73.43444873638725,False
17,K21,edge,1728000.0,21742.633050588236,79.47519493059971,False
17,K22,edge,1728000.0,9086.2499975,190.17746600362565,False
17,K23,edge,1728000.0,28412.268898823528,60.818796490819906,False
17,K17,edge,6048000.0,222649.05751296593,27.163824844162193,False
17,K25,edge,1728000.0,29054.636588421054,59.47415637918005,False
17,K24,edge,6048000.0,175782.4963235076,34.40615605361155,False
17,K26,edge,6048000.0,135824.78040439147,44.52795713707965,False
17,K27,edge,6048000.0,100325.67025005425,60.28367400811588,False
17,K28,edge,6048000.0,68876.2795926096,87.80962089957234,False
17,K29,edge,6048000.0,7643.8661518026565,791.2226456992182,False
17,K31,edge,1728000.0,27652.941176470587,62.488832163369494,False
17,K32,edge,1728000.0,28707.871134117646,60.19255109259466,False
17,K33,edge,1728000.0,22420.080334939757,77.07376486546576,False
17,K34,edge,1728000.0,57788.59946117647,29.902091694762472,False
17,K35,edge,1728000.0,7108.79552117647,243.0791538246446,False
18,K1,edge,6048000.0,1039805.0750341734,5.816474784758317,False
18,K3,edge,2592000.0,47096.47059294118,55.03597121752239,False
18,K2,edge,6048000.0,940718.3506895236,6.429129394113513,False
18,K5,edge,86932.180615,79512.5490317647,1.0933139696008387,False
18,K6,edge,29366.500423,23725.49020117647,1.2377615878108943,False
18,K4,edge,6048000.0,790444.3939221062,7.651392111202696,False
18,K8,edge,46140.063039,37979.21569058824,1.2148766687257877,False
18,K7,edge,6048000.0,712942.9585354127,8.483147112392146,False
18,K11,edge,87551.520426,22823.52941764706,3.8360202238618504,False
18,K9,edge,6048000.0,654472.281190995,9.241033079344438,False
18,K12,edge,42906.161145,11979.607848235295,3.5815998059836716,False
18,K10,edge,6048000.0,603224.3364713,10.026120688994698,False
18,K14,edge,1728000.0,25945.09804352941,66.60217653064353,False
18,K13,edge,6048000.0,547118.0216042056,11.05428766953545,False
18,K16,edge,1728000.0,57007.08333625,30.31202262721603,False
18,K15,edge,6048000.0,435399.13610753504,13.890702802189903,False
18,K18,edge,1728000.0,7900.0,218.73417721518987,False
18,K19,edge,1728000.0,30633.3333425,56.40914035308758,False
18,K20,edge,1728000.0,30076.25000125,57.45397115425568,False
18,K21,edge,1728000.0,26856.078436470587,64.34297561677411,False
18,K22,edge,1728000.0,12721.25,135.8357079689496,False
18,K23,edge,1728000.0,35529.01961176471,48.636298408521476,False
18,K17,edge,6048000.0,269913.24791017297,22.407199523651286,False
18,K25,edge,1728000.0,31761.40351473684,54.4056561983551,False
18,K24,edge,6048000.0,216558.7845626223,27.92775186753553,False
18,K26,edge,6048000.0,146093.78729029757,41.398064299491686,False
18,K27,edge,6048000.0,104888.90184342975,57.661009827598335,False
18,K28,edge,6048000.0,73028.82034258131,82.81661913239971,False
18,K29,edge,6048000.0,9752.477338393423,620.1501208508647,False
18,K31,edge,1728000.0,55305.882352941175,31.244416081684747,False
18,K32,edge,1728000.0,33900.196082352944,50.9731564915498,False
18,K33,edge,1728000.0,22420.080334939757,77.07376486546576,False
18,K34,edge,1728000.0,59624.90198705882,28.981179715398955,False
18,K35,edge,1728000.0,9069.803924705882,190.52231055326104,False
19,K1,edge,6048000.0,1166950.0273528458,5.182741212765997,False
19,K3,edge,2592000.0,57332.25491411765,45.21015271216446,False
19,K2,edge,6048000.0,1051270.2710710857,5.753040075829407,False
19,K5,edge,86932.180615,82008.23532117647,1.0600420832680941,False
19,K6,edge,29366.500423,21760.000004705882,1.3495634382651247,False
19,K4,edge,6048000.0,894938.5221916491,6.758006108831724,False
19,K8,edge,46140.063039,40195.68628588235,1.1478859375814525,False
19,K7,edge,6048000.0,809995.9097961843,7.466704370793467,False
19,K11,edge,87551.520426,28611.764711764707,3.0599832379440826,False
19,K9,edge,6048000.0,740884.3495946104,8.163217381105815,False
19,K12,edge,42906.161145,9261.960783529412,4.63251380002604,False
19,K10,edge,6048000.0,687169.3278354043,8.801324149684195,False
19,K14,edge,1728000.0,32300.000002352943,53.49845200848673,False
19,K13,edge,6048000.0,620510.8614412812,9.746807631943959,False
