F,phase,repeat,ms
50,lp_build,29,1.2818999821320176
50,lp_build,30,1.257800031453371
50,lp_solve,1,5.259900004602969
50,lp_solve,2,5.216500023379922
50,lp_solve,3,5.234499927610159
50,lp_solve,4,5.294799921102822
50,lp_solve,5,5.181299988180399
50,lp_solve,6,5.46270003542304
50,lp_solve,7,5.488800001330674
50,lp_solve,8,5.924499942921102
50,lp_solve,9,5.514600081369281
50,lp_solve,10,5.671399994753301
50,lp_solve,11,5.549800000153482
50,lp_solve,12,5.56909991428256
50,lp_solve,13,5.522299907170236
50,lp_solve,14,5.383400013670325
50,lp_solve,15,5.402799928560853
50,lp_solve,16,5.358200054615736
50,lp_solve,17,5.334099987521768
50,lp_solve,18,5.583500023931265
50,lp_solve,19,5.398899898864329
50,lp_solve,20,5.610699998214841
50,lp_solve,21,5.422199959866703
50,lp_solve,22,5.410499987192452
50,lp_solve,23,5.347499973140657
50,lp_solve,24,5.412200000137091
50,lp_solve,25,5.335900001227856
50,lp_solve,26,5.211499985307455
50,lp_solve,27,5.0561000825837255
50,lp_solve,28,5.617500049993396
50,lp_solve,29,5.478800041601062
50,lp_solve,30,5.377099965699017
50,cf_total,1,0.879499944858253
50,cf_total,2,0.837799976579845
50,cf_total,3,0.8303000358864665
50,cf_total,4,0.8412000024691224
50,cf_total,5,0.8445000275969505
50,cf_total,6,0.843399902805686
50,cf_total,7,0.8440000237897038
50,cf_total,8,0.8288000244647264
50,cf_total,9,0.9040000149980187
50,cf_total,10,0.8464999264106154
50,cf_total,11,0.840499997138977
50,cf_total,12,0.8341999491676688
50,cf_total,13,0.8264000061899424
50,cf_total,14,0.8413998875766993
50,cf_total,15,0.8262000046670437
50,cf_total,16,0.8384999819099903
50,cf_total,17,0.8412001188844442
50,cf_total,18,0.882399850524962
50,cf_total,19,0.8309000404551625
50,cf_total,20,0.906800152733922
50,cf_total,21,0.8353999583050609
50,cf_total,22,0.897000078111887
50,cf_total,23,0.8358999621123075
50,cf_total,24,0.8692000992596149
50,cf_total,25,0.8414000039920211
50,cf_total,26,1.182700041681528
50,cf_total,27,0.8399999933317304
50,cf_total,28,0.8382999803870916
50,cf_total,29,0.8416000055149198
50,cf_total,30,0.8509000763297081
50,lp_total,1,7.64510000590235
50,lp_total,2,7.366399979218841
50,lp_total,3,7.361199823208153
50,lp_total,4,7.463799905963242
50,lp_total,5,7.206000038422644
50,lp_total,6,7.483300054445863
50,lp_total,7,7.569400011561811
50,lp_total,8,7.9468999756500125
50,lp_total,9,7.71970022469759
50,lp_total,10,7.876599906012416
50,lp_total,11,7.61550001334399
50,lp_total,12,7.751099881716073
50,lp_total,13,7.57679995149374
50,lp_total,14,7.42269994225353
50,lp_total,15,7.44650000706315
