scenario,lambda_star,bottleneck_argmin,bottleneck_near_set,bottleneck_class,near_set_size,runner_up_margin,stage2_satisfaction,stage3_variation,feasibility_tolerance,draw
efficiency,0.8324386391473105,source:24,source:24,source,1,0.0006189332274517391,0.892319071698274,5.843925341802703,1e-09,33.0
efficiency,0.8482317244103283,source:24,source:24,source,1,0.000495842517315474,0.9025163097713874,5.392857476626741,1e-09,34.0
efficiency,0.8788235294214993,edge:14:K12,edge:14:K12,edge,1,0.004819277086728386,0.9290369680059005,4.647348451736755,1e-09,35.0
efficiency,0.8180135513503405,source:19,source:19,source,1,0.0002865822071311104,0.8847666851412023,6.071001672370113,1e-09,36.0
efficiency,0.8727441645628454,source:23,source:23,source,1,3.12137875064652e-05,0.9178983345990106,5.092766457238661,1e-09,37.0
efficiency,0.8491238978260937,source:24,source:24,source,1,0.00038019374056415207,0.9021358992511848,5.405149856547449,1e-09,38.0
efficiency,0.8872941176568873,edge:14:K12,edge:14:K12,edge,1,0.0015270759103828174,0.9304900998027138,4.544770935445054,1e-09,39.0
efficiency,0.8597174249048813,source:20,source:20,source,1,0.0006005596707784427,0.9100249645706752,5.096856382594683,1e-09,40.0
efficiency,0.8596649533492018,source:24,source:24,source,1,0.00011363717149586019,0.9089499635874899,5.275274154329958,1e-09,41.0
efficiency,0.8768774142923135,source:23,source:23,source,1,0.00013125150986352202,0.9203388559390228,4.864908546877476,1e-09,42.0
efficiency,0.8397710449496583,source:24,source:24,source,1,0.0004273352836162028,0.8967555245970504,5.628602315804361,1e-09,43.0
efficiency,0.855403605282628,source:24,source:24,source,1,0.00021661994219471524,0.9073731415593289,5.677602316331839,1e-09,44.0
efficiency,0.8182547791432642,source:19,source:19,source,1,0.000354512845556552,0.8824429183527732,5.9688929929743,1e-09,45.0
efficiency,0.8589598564563051,source:20,source:20,source,1,3.547438612187013e-05,0.9076933713107743,5.583054618772097,1e-09,46.0
efficiency,0.8262304662775293,source:20,source:20,source,1,0.00046536997842983025,0.8878125365104166,5.7152373979553905,1e-09,47.0
efficiency,0.809343514454494,source:19,source:19,source,1,0.0002868090816503824,0.8777220270089333,6.321344376838705,1e-08,48.0
efficiency,0.839070210319109,source:24,source:24,source,1,0.00045140584308878443,0.8974075974025799,5.959431804775222,1e-09,49.0
efficiency,0.8641981798506102,source:20,source:20,source,1,0.0004888388834822196,0.9118843967670236,5.372004072138664,1e-09,50.0
efficiency,0.8809411764694054,edge:15:K5,edge:12:K5;edge:15:K5;edge:16:K5,edge,3,0.016826923089551717,0.9370400746143955,4.5559959937624495,1e-08,51.0
efficiency,0.8765173879013356,source:24,source:24,source,1,0.0008190884565715085,0.923020754931122,4.941930954795228,1e-09,52.0
efficiency,0.8540672409800713,source:23,source:23,source,1,0.00010852865028668565,0.9061008532617276,5.548576927272069,1e-09,53.0
efficiency,0.8424000092042657,source:20,source:20,source,1,0.0005081442737925047,0.8983804949411524,5.5674775134609344,1e-09,54.0
